,School
1367,"Rock Hill (Frisco,TX)"
1369,"Passaic County Technical Institute (Wayne,NJ)"
1375,"Yucaipa (Yucaipa,CA)"
1376,"Calvert Hall (Baltimore,MD)"
1395,"Woodward Academy (College Park,GA)"
1438,"Eastside (Taylors,SC)"
1441,"Hanover (Mechanicsville,VA)"
1450,"Kennedy Catholic (Somers,NY)"
1451,"P27 Sports Academy (Lexington,SC)"
1454,"Nogales (Nogales,AZ)"
1465,"Bill Crothers (Unionville,ON)"
1489,"Capistrano Valley (Mission Viejo,CA)"
1496,"Fuquay Varina (Fuquay Varina,NC)"
1534,"Randleman (Randleman,NC)"
