,,year,rnd,ovl,phase,player name,draft team,pos,bonus,signed,hilvl,mlbyears,stat years,source,school,dr reg,pos,ht,wt,ba,th,Born,place
10,,2017,1,11,June-Reg,Jake Burger,Chicago White Sox,3b,3.70,Yes,MLB,2021-2023,2015-2023,College,Missouri State,MO,3b,6-2,210,R,R,1996-04-10,"St. Louis,MO"
11,,2017,1,12,June-Reg,Shane Baz,Pittsburgh Pirates,p,4.10,Yes,MLB,2021-2022,2017-2022,HS,"Concordia Lutheran (Spring,TX)",TX,p,6-2,190,R,R,1999-06-17,"Houston,TX"
12,,2017,1,13,June-Reg,Trevor Rogers,Miami Marlins,p,3.40,Yes,MLB,2020-2023,2018-2023,HS,"Carlsbad (Carlsbad,NM)",NM,p,6-5,217,L,L,1997-11-13,"Carlsbad,NM"
13,,2017,1,14,June-Reg,Nick Pratto,Kansas City Royals,1b,3.45,Yes,MLB,2022-2023,2017-2023,HS,"Huntington Beach (Huntington Beach,CA)",CA,1b-lf,6-1,215,L,L,1998-10-06,"Huntington Beach,CA"
14,,2017,1,15,June-Reg,J.B. Bukauskas,Houston Astros,p,3.60,Yes,MLB,2021-2023,2015-2023,College,North Carolina,NC,p,6-0,208,R,R,1996-10-11,"Ashburn,VA"
15,,2017,1,16,June-Reg,Clarke Schmidt,New York Yankees,p,2.18,Yes,MLB,2020-2023,2015-2023,College,South Carolina,SC,p,6-1,200,R,R,1996-02-20,"Acworth,GA"
16,,2017,1,17,June-Reg,Evan White,Seattle Mariners,1b,3.13,Yes,MLB,2020-2021,2015-2023,College,Kentucky,KY,1b,6-3,220,R,L,1996-04-26,"Columbus,OH"
17,,2017,1,18,June-Reg,Alex Faedo,Detroit Tigers,p,3.50,Yes,MLB,2022-2023,2015-2023,College,Florida,FL,p,6-4,220,R,R,1995-11-12,"Tampa,FL"
18,,2017,1,19,June-Reg,Heliot Ramos,San Francisco Giants,of,3.10,Yes,MLB,2022-2023,2017-2023,HS,"Leadership Christian Academy (Guaynabo,PR)",PR,cf-rf,6-1,188,R,R,1999-09-07,"Humacao,PR"
19,,2017,1,20,June-Reg,David Peterson,New York Mets,p,2.99,Yes,MLB,2020-2023,2015-2023,College,Oregon,OR,p,6-6,240,L,L,1995-09-03,"Denver,CO"
20,,2017,1,21,June-Reg,DL Hall,Baltimore Orioles,p,3.00,Yes,MLB,2022-2023,2017-2023,HS,"Valdosta (Valdosta,GA)",GA,p,6-2,210,L,L,1998-09-19,"Valdosta,GA"
21,,2017,1,22,June-Reg,Logan Warmoth,Toronto Blue Jays,ss,2.82,Yes,AAA,--,2015-2023,College,North Carolina,NC,cf-rf,6-0,184,R,R,1995-09-06,"Orlando,FL"
22,,2017,1,23,June-Reg,Jeren Kendall,Los Angeles Dodgers,of,2.90,Yes,AA,--,2015-2022,College,Vanderbilt,TN,cf,5-10,170,L,R,1996-02-04,"Clearwater,FL"
23,,2017,1,24,June-Reg,Tanner Houck,Boston Red Sox,p,2.61,Yes,MLB,2020-2023,2015-2023,College,Missouri,MO,p,6-5,230,R,R,1996-06-29,"Collinsville,IL"
24,,2017,1,25,June-Reg,Seth Romero,Washington Nationals,p,2.80,Yes,MLB,2020-2020,2015-2022,College,Houston,TX,p,6-3,240,L,L,1996-04-19,"West Columbia,TX"
25,,2017,1,26,June-Reg,Bubba Thompson,Texas Rangers,of,2.10,Yes,MLB,2022-2023,2017-2023,HS,"McGill-Toolen (Mobile,AL)",AL,cf-lf,6-2,197,R,R,1998-06-09,"Mobile,AL"
26,,2017,1,27,June-Reg,Brendon Little,Chicago Cubs,p,2.20,Yes,MLB,2022-2022,2016-2023,College,St Col of FL,FL,p,6-1,195,L,L,1996-08-11,"Berwyn,PA"
27,,2017,1,28,June-Reg,Nate Pearson,Toronto Blue Jays,p,2.45,Yes,MLB,2020-2023,2016-2023,College,Central Florida,FL,p,6-6,255,R,R,1996-08-20,"Odessa,FL"
28,,2017,1,29,June-Reg,Chris Seise,Texas Rangers,ss,2.00,Yes,AA,--,2017-2023,HS,"West Orange (Winter Garden,FL)",FL,ss,6-1,196,R,R,1999-01-06,"Schenectady,NY"
29,,2017,1,30,June-Reg,Alex Lange,Chicago Cubs,p,1.93,Yes,MLB,2021-2023,2015-2023,College,LSU,LA,p,6-3,198,R,R,1995-10-02,"Lees Summit,MO"
30,,2017,1,31,June-Reg,Drew Rasmussen,Tampa Bay Rays,p,0.00,No,MLB,2020-2023,2015-2023,College,Oregon State,OR,p,6-1,211,R,R,1995-07-27,"Colbert,WA"
31,,2017,1,32,June-Reg,Jeter Downs,Cincinnati Reds,ss,1.82,Yes,MLB,2022-2023,2017-2023,HS,"Monsignor Edward Pace (Miami,FL)",FL,ss,5-11,197,R,R,1998-07-27,"San Andres,CB"
32,,2017,1,33,June-Reg,Kevin Merrell,Oakland Athletics,ss,1.80,Yes,AAA,--,2015-2022,College,South Florida,FL,2b-ss,6-0,181,L,R,1995-12-14,"Odessa,FL"
33,,2017,1,34,June-Reg,Tristen Lutz,Milwaukee Brewers,of,2.35,Yes,AA,--,2017-2023,HS,"James Martin (Arlington,TX)",TX,lf-rf,6-2,210,R,R,1998-08-22,"Arlington,TX"
34,,2017,1,35,June-Reg,Brent Rooker,Minnesota Twins,of,1.94,Yes,MLB,2020-2023,2015-2023,College,Mississippi State,MS,lf-rf,6-3,225,R,R,1994-11-01,"Germantown,TN"
35,,2017,1,36,June-Reg,Brian Miller,Miami Marlins,of,1.89,Yes,MLB,2021-2021,2015-2023,College,North Carolina,NC,lf-cf,6-0,177,L,R,1995-08-20,"Raleigh,NC"
36,36 record(s),,,,,,,,,,,,,,,,,,,,,,
0,,2017,2,37,June-Reg,Landon Leach,Minnesota Twins,p,1.40,Yes,A+,--,2017-2022,HS,"Pickering (Ajax,ON)",ON,p,6-4,220,R,R,1999-07-12,"Toronto,ON"
1,,2017,2,38,June-Reg,Stuart Fairchild,Cincinnati Reds,of,1.80,Yes,MLB,2021-2023,2015-2023,College,Wake Forest,NC,cf-rf,6-0,205,R,R,1996-03-17,"Seattle,WA"
2,,2017,2,39,June-Reg,Luis Campusano,San Diego Padres,c,1.30,Yes,MLB,2020-2023,2017-2023,HS,"Cross Creek (Augusta,GA)",GA,c,5-11,232,R,R,1998-09-29,"Augusta,GA"
3,,2017,2,40,June-Reg,Michael Mercado,Tampa Bay Rays,p,2.13,Yes,AA,--,2017-2023,HS,"Westview (San Diego,CA)",CA,p,6-4,160,R,R,1999-04-15,"Greenville,SC"
4,,2017,2,41,June-Reg,Drew Waters,Atlanta Braves,of,1.50,Yes,MLB,2022-2023,2017-2023,HS,"Etowah (Woodstock,GA)",GA,cf-rf,6-2,185,B,R,1998-12-30,"Atlanta,GA"
5,,2017,2,42,June-Reg,Steven Jennings,Pittsburgh Pirates,p,1.90,Yes,AA,--,2017-2023,HS,"DeKalb County (Smithville,TN)",TN,p,6-2,175,R,R,1998-11-13,"Brush Creek,tn"
6,,2017,2,43,June-Reg,Greg Deichmann,Oakland Athletics,of,1.70,Yes,MLB,2021-2021,2015-2023,College,LSU,LA,rf-cf,6-2,185,L,R,1995-05-31,"Metairie,LA"
7,,2017,2,44,June-Reg,Drew Ellis,Arizona Diamondbacks,3b,1.56,Yes,MLB,2021-2023,2016-2023,College,Louisville,KY,3b-1b,6-3,205,R,R,1995-12-01,"Louisville,KY"
8,,2017,2,45,June-Reg,Spencer Howard,Philadelphia Phillies,p,1.15,Yes,MLB,2020-2022,2016-2023,College,Cal Poly,CA,p,6-3,210,R,R,1996-07-28,"San Luis Obispo,CA"
9,,2017,2,46,June-Reg,Caden Lemons,Milwaukee Brewers,p,1.45,Yes,A,--,2017-2021,HS,"Vestavia Hills (Birmingham,AL)",AL,p,6-6,175,R,R,1998-12-02,"Birmingham,AL"
10,,2017,2,47,June-Reg,Griffin Canning,Los Angeles Angels,p,1.46,Yes,MLB,2019-2023,2015-2023,College,UCLA,CA,p,6-3,175,R,R,1996-05-11,"Corto de Caza,CA"
